customer_id,tenure_months,monthly_charges,contract,internet_service,payment_method,support_calls,senior_citizen,churn
C00053,54,54.81,Month-to-month,Fiber optic,Mailed check,3,1,0
C00054,4,57.17,Two year,Fiber optic,Mailed check,1,0,1
C00055,54,20.14,One year,No,Credit card,2,0,0
C00056,63,,Month-to-month,No,Electronic check,2,0,0
C00057,18,84.65,Month-to-month,Fiber optic,Electronic check,2,0,0
C00058,44,117.42,Month-to-month,Fiber optic,Bank transfer,1,0,1
C00059,34,104.71,Month-to-month,No,Mailed check,3,0,0
C00060,62,22.36,Month-to-month,Fiber optic,Credit card,0,1,0
C00061,14,109.86,Month-to-month,DSL,Mailed check,0,0,0
C00062,48,98.32,Month-to-month,Fiber optic,Electronic check,1,0,0
C00063,15,98.04,One year,DSL,Electronic check,1,1,0
C00064,62,65.8,Month-to-month,Fiber optic,Credit card,1,1,0
C00065,40,59.8,Month-to-month,No,Electronic check,2,0,0
C00066,53,50.29,One year,Fiber optic,Credit card,0,0,0
C00067,24,26.57,Month-to-month,Fiber optic,Credit card,1,0,1
C00068,26,42.82,Month-to-month,DSL,Mailed check,2,0,1
C00069,60,44.66,Month-to-month,Fiber optic,Credit card,3,0,1
C00070,41,68.41,Two year,DSL,Electronic check,1,0,0
C00071,29,94.74,Two year,DSL,Bank transfer,1,1,1
C00072,15,67.38,Month-to-month,Fiber optic,Bank transfer,2,0,1
C00073,45,25.78,One year,DSL,Electronic check,0,1,0
C00074,65,115.78,Month-to-month,Fiber optic,Bank transfer,2,1,1
C00075,71,114.27,One year,Fiber optic,Bank transfer,1,0,0
C00076,9,98.52,One year,No,Credit card,1,0,1
C00077,1,119.13,One year,Fiber optic,Bank transfer,1,0,0
C00078,8,74.45,Month-to-month,DSL,Bank transfer,1,0,0
C00079,63,116.28,Month-to-month,DSL,Bank transfer,2,0,0
C00080,11,27.56,Month-to-month,Fiber optic,Mailed check,1,0,0
C00081,8,56.57,Two year,Fiber optic,Electronic check,2,0,1
C00082,35,42.54,One year,Fiber optic,Credit card,1,0,0
C00083,35,39.58,Two year,Fiber optic,Bank transfer,1,0,1
C00084,33,34.08,Two year,DSL,Electronic check,1,0,0
C00085,5,82.24,Month-to-month,Fiber optic,Bank transfer,1,0,1
C00086,41,98.13,One year,Fiber optic,Mailed check,1,0,0
C00087,28,77.83,One year,DSL,Mailed check,1,1,0
C00088,7,34.7,Two year,DSL,Bank transfer,1,0,0
C00089,12,101.11,Two year,DSL,Bank transfer,1,0,0
C00090,34,83.6,One year,DSL,Bank transfer,2,0,0
C00091,33,58.82,Month-to-month,Fiber optic,Mailed check,1,0,0
C00092,48,87.41,One year,DSL,Mailed check,2,0,0
C00093,23,45.99,Month-to-month,DSL,Electronic check,0,0,1
C00094,62,54.52,One year,DSL,Credit card,1,0,0
C00095,37,111.75,Two year,No,Credit card,1,0,0
C00096,44,49.05,Month-to-month,No,Mailed check,1,1,0
C00097,35,67.0,One year,DSL,Credit card,3,0,0
C00098,65,109.01,Month-to-month,DSL,Bank transfer,0,0,0
C00099,47,90.77,Month-to-month,DSL,Electronic check,0,0,1
C00100,3,26.22,Month-to-month,Fiber optic,Mailed check,1,1,1
C00101,1,34.73,One year,DSL,Mailed check,4,0,1
C00102,5,20.78,Two year,Fiber optic,Credit card,0,1,1
C00103,14,83.09,Two year,Fiber optic,Bank transfer,0,0,1
C00104,27,64.77,Month-to-month,No,Electronic check,2,0,1
C00105,9,33.43,Two year,DSL,Credit card,1,0,0
C00106,15,115.79,One year,No,Mailed check,0,0,0
C00107,42,72.97,Month-to-month,Fiber optic,Mailed check,1,0,0
C00108,51,44.19,Month-to-month,DSL,Credit card,0,1,0
C00109,63,70.06,Month-to-month,Fiber optic,Bank transfer,1,0,1
C00110,52,87.96,Two year,DSL,Electronic check,1,0,0
C00111,4,27.62,One year,DSL,Electronic check,0,0,0
C00112,23,47.47,One year,DSL,Electronic check,1,0,0
C00113,15,100.7,Month-to-month,Fiber optic,Electronic check,0,0,1
C00114,43,65.97,One year,Fiber optic,Bank transfer,0,0,0
C00115,29,74.66,Month-to-month,No,Mailed check,2,0,0
C00116,36,63.28,Month-to-month,DSL,Mailed check,1,0,0
C00117,13,24.39,One year,No,Electronic check,1,0,1
C00118,32,36.57,Month-to-month,DSL,Electronic check,1,1,0
C00119,71,64.55,Two year,Fiber optic,Electronic check,1,0,0
C00120,59,40.92,Month-to-month,DSL,Credit card,0,1,0
C00121,28,25.0,One year,DSL,Credit card,0,0,0
C00122,66,104.36,Month-to-month,No,Mailed check,0,0,0
C00123,42,118.12,One year,DSL,Mailed check,2,0,0
C00124,45,99.31,Month-to-month,Fiber optic,Electronic check,4,0,0
C00125,62,105.38,Month-to-month,Fiber optic,Credit card,4,1,0
C00126,57,44.2,Two year,Fiber optic,Bank transfer,1,0,0
C00127,6,116.06,Month-to-month,Fiber optic,Credit card,1,1,0
C00128,28,39.69,Two year,Fiber optic,Mailed check,1,0,1
C00129,28,115.14,Two year,DSL,Credit card,1,0,1
C00130,44,119.48,Month-to-month,Fiber optic,Mailed check,2,1,0
C00131,30,91.17,Month-to-month,No,Electronic check,2,0,1
C00132,62,118.11,One year,,Bank transfer,3,0,1
C00133,62,76.95,Two year,,Electronic check,2,0,0
C00134,1,45.95,Two year,Fiber optic,Electronic check,1,1,0
C00135,27,63.7,Month-to-month,Fiber optic,Bank transfer,3,0,1
C00136,62,79.36,One year,Fiber optic,Bank transfer,2,0,0
C00137,3,27.31,Month-to-month,DSL,Bank transfer,0,0,1
C00138,70,82.23,Two year,Fiber optic,Mailed check,1,0,0
C00139,27,118.12,Two year,DSL,Electronic check,1,1,0
C00140,9,39.01,Month-to-month,Fiber optic,Mailed check,1,1,1
C00141,62,99.26,Month-to-month,Fiber optic,Bank transfer,2,0,0
C00142,37,110.79,Month-to-month,DSL,Mailed check,1,0,0
C00143,51,114.37,Month-to-month,Fiber optic,Bank transfer,1,0,0
C00144,44,116.01,Two year,No,Credit card,1,0,0
C00145,24,72.15,Month-to-month,Fiber optic,Bank transfer,1,0,1
C00146,59,117.73,Month-to-month,No,Electronic check,0,0,1
C00147,32,95.73,Month-to-month,Fiber optic,Electronic check,0,0,1
C00148,52,36.17,Two year,Fiber optic,Electronic check,1,0,0
C00149,62,67.69,One year,DSL,Mailed check,2,0,0
C00150,58,91.83,Month-to-month,DSL,Electronic check,1,0,1
C00151,52,44.73,Month-to-month,DSL,Bank transfer,3,1,1
C00152,12,84.06,Two year,Fiber optic,Credit card,0,0,0
C00153,39,86.66,Two year,No,Electronic check,2,0,0
C00154,2,36.27,Month-to-month,DSL,Mailed check,0,0,0
C00155,3,76.51,Month-to-month,Fiber optic,Credit card,2,0,0
C00156,56,97.16,Month-to-month,Fiber optic,Electronic check,1,0,0
C00157,59,69.89,Month-to-month,Fiber optic,Electronic check,1,0,0
C00158,2,21.21,One year,Fiber optic,Credit card,0,0,0
C00159,2,20.9,Two year,,Electronic check,1,0,1
C00160,54,55.7,Month-to-month,DSL,Mailed check,0,1,0
C00161,1,112.62,Two year,DSL,Bank transfer,0,0,0
C00162,19,42.87,Month-to-month,No,Bank transfer,3,1,1
C00163,2,83.44,One year,DSL,Credit card,1,0,1
C00164,53,42.21,One year,DSL,Bank transfer,3,0,0
C00165,44,52.17,Month-to-month,No,Electronic check,1,0,0
C00166,32,104.8,Month-to-month,DSL,Electronic check,1,0,1
C00167,70,92.89,One year,Fiber optic,Mailed check,0,0,0
C00168,32,29.54,Month-to-month,DSL,Bank transfer,1,0,1
C00169,68,62.87,Month-to-month,Fiber optic,Credit card,0,0,0
C00170,55,22.92,Month-to-month,DSL,Electronic check,4,0,0
C00171,56,68.09,Two year,DSL,Credit card,1,0,0
C00172,17,86.24,Month-to-month,Fiber optic,Electronic check,2,0,0
C00173,38,31.85,Two year,Fiber optic,Electronic check,1,0,1
C00174,24,48.89,Month-to-month,Fiber optic,Mailed check,0,0,1
C00175,69,59.78,One year,No,Bank transfer,1,0,0
C00176,70,111.95,One year,DSL,Mailed check,1,0,0
C00177,11,119.33,Two year,Fiber optic,Bank transfer,2,0,1
C00178,16,24.49,Month-to-month,Fiber optic,Credit card,1,0,1
C00179,59,96.1,One year,No,Bank transfer,2,0,1
C00180,70,57.17,One year,DSL,Credit card,1,0,0
C00181,3,59.25,Month-to-month,Fiber optic,Electronic check,1,0,0
C00182,20,95.43,Month-to-month,No,Credit card,1,0,1
C00183,59,111.84,Month-to-month,DSL,Credit card,2,1,1
C00184,36,115.09,Month-to-month,No,Electronic check,1,0,0
C00185,19,77.71,Two year,DSL,Credit card,1,0,0
C00186,67,55.71,Month-to-month,Fiber optic,Credit card,1,0,1
C00187,19,98.75,Month-to-month,No,Electronic check,1,0,0
C00188,20,45.1,One year,,Electronic check,1,0,0
C00189,71,76.41,Month-to-month,Fiber optic,Electronic check,3,0,0
C00190,52,55.86,Month-to-month,DSL,Bank transfer,0,1,0
C00191,33,85.66,Month-to-month,No,Electronic check,2,0,0
C00192,40,,Two year,Fiber optic,Electronic check,1,0,0
C00193,39,39.16,Two year,DSL,Credit card,3,0,0
C00194,1,111.82,Two year,Fiber optic,Mailed check,0,1,0
C00195,11,30.18,Month-to-month,Fiber optic,Mailed check,0,0,0
C00196,57,70.6,One year,DSL,Bank transfer,1,0,0
C00197,50,42.09,Month-to-month,DSL,Bank transfer,0,0,0
C00198,23,23.89,Month-to-month,DSL,Mailed check,1,0,0
C00199,31,23.6,Month-to-month,Fiber optic,Mailed check,0,0,1
C00200,42,37.52,One year,Fiber optic,Electronic check,0,1,0
C00201,7,106.68,Month-to-month,Fiber optic,Credit card,0,0,0
C00202,16,48.25,Month-to-month,No,Electronic check,3,0,1
C00203,60,115.05,Month-to-month,No,Bank transfer,1,1,1
C00204,2,78.16,Month-to-month,Fiber optic,Mailed check,0,0,1
C00205,1,63.66,One year,DSL,Bank transfer,0,0,0
C00206,48,78.01,Month-to-month,Fiber optic,Electronic check,1,0,0
C00207,12,71.67,One year,Fiber optic,Bank transfer,0,0,0
C00208,69,95.88,Month-to-month,Fiber optic,Bank transfer,1,0,0
C00209,37,48.25,Two year,Fiber optic,Credit card,0,1,1
C00210,32,55.31,One year,Fiber optic,Bank transfer,0,0,1
C00211,9,109.41,Month-to-month,No,Electronic check,1,0,1
C00212,19,114.65,Month-to-month,DSL,Credit card,0,0,1
C00213,48,109.26,One year,Fiber optic,Bank transfer,1,0,0
C00214,3,61.94,Two year,DSL,Electronic check,1,0,1
C00215,20,98.04,Month-to-month,No,Mailed check,0,0,0
C00216,24,67.63,Month-to-month,DSL,Credit card,2,0,1
C00217,54,69.75,Two year,,Bank transfer,1,0,0
C00218,33,40.47,One year,DSL,Bank transfer,0,0,0
C00219,24,79.11,Month-to-month,Fiber optic,Credit card,1,0,1
C00220,36,38.61,Month-to-month,DSL,Electronic check,2,0,0
C00221,38,53.16,Month-to-month,Fiber optic,Bank transfer,1,0,0
C00222,25,105.5,One year,Fiber optic,Electronic check,0,0,0
C00223,18,40.71,Month-to-month,DSL,Credit card,2,0,0
C00224,66,27.12,Two year,DSL,Bank transfer,0,0,0
C00225,54,26.9,Month-to-month,No,Mailed check,0,0,0
C00226,35,114.08,Month-to-month,Fiber optic,Mailed check,3,0,0
C00227,61,70.69,One year,Fiber optic,Mailed check,1,0,0
C00228,41,60.94,Two year,Fiber optic,Credit card,2,0,0
C00229,33,101.09,Two year,DSL,Bank transfer,2,0,0
C00230,68,103.58,Month-to-month,DSL,Credit card,2,0,1
C00231,33,53.22,One year,DSL,Bank transfer,2,0,0
C00232,14,89.36,One year,No,Mailed check,0,0,0
C00233,21,97.11,Month-to-month,No,Mailed check,0,0,0
C00234,48,85.47,Month-to-month,Fiber optic,Electronic check,3,0,0
C00235,20,35.16,Month-to-month,DSL,Credit card,1,0,0
C00236,8,107.59,Month-to-month,DSL,Credit card,0,0,1
C00237,7,73.91,Two year,DSL,Electronic check,1,0,0
C00238,67,48.25,Month-to-month,Fiber optic,Mailed check,2,0,0
C00239,17,62.52,Two year,DSL,Mailed check,2,0,1
C00240,33,23.76,Month-to-month,No,Credit card,2,0,1
C00241,48,,One year,Fiber optic,Bank transfer,0,0,0
C00242,59,96.55,Month-to-month,No,Mailed check,0,0,0
C00243,22,20.0,Month-to-month,Fiber optic,Electronic check,0,1,1
C00244,30,61.66,Month-to-month,Fiber optic,Electronic check,2,0,1
C00245,38,72.25,Month-to-month,Fiber optic,Electronic check,2,1,0
C00246,51,25.46,One year,Fiber optic,Credit card,4,0,0
C00247,54,,Month-to-month,Fiber optic,Credit card,0,0,0
C00248,8,42.61,One year,Fiber optic,Credit card,2,0,1
C00249,27,50.42,Month-to-month,Fiber optic,Credit card,2,0,1
C00250,27,50.39,Month-to-month,No,Electronic check,1,0,0
C00251,21,43.04,Month-to-month,Fiber optic,Electronic check,1,1,0
C00252,30,20.15,Two year,Fiber optic,Credit card,1,0,0
C00253,28,92.93,One year,No,Credit card,0,0,0
C00254,64,116.68,Month-to-month,DSL,Electronic check,0,0,0
C00255,69,42.43,Month-to-month,DSL,Credit card,3,1,1
C00256,61,86.3,Month-to-month,,Credit card,1,0,1
C00257,48,94.19,Two year,Fiber optic,Credit card,1,0,0
C00258,19,104.84,One year,No,Credit card,3,0,0
C00259,4,62.26,Month-to-month,Fiber optic,Mailed check,1,0,0
C00260,35,50.29,One year,Fiber optic,Credit card,0,0,1
C00261,64,,Month-to-month,Fiber optic,Electronic check,0,0,0
C00262,49,91.26,Two year,DSL,Electronic check,2,0,0
C00263,17,101.68,Month-to-month,Fiber optic,Electronic check,0,0,0
C00264,44,38.16,One year,No,Electronic check,2,0,0
C00265,30,57.09,Month-to-month,DSL,Credit card,0,0,0
C00266,46,110.19,One year,Fiber optic,Mailed check,4,1,1
C00267,6,100.67,One year,Fiber optic,Bank transfer,0,1,1
C00268,37,118.49,One year,DSL,Bank transfer,1,0,0
C00269,24,95.42,One year,DSL,Bank transfer,3,0,1
C00270,46,59.32,Two year,No,Bank transfer,2,0,0
C00271,53,79.06,Month-to-month,Fiber optic,Electronic check,1,0,1
C00272,60,86.1,Month-to-month,DSL,Credit card,0,0,0
C00273,63,27.85,Month-to-month,DSL,Credit card,2,0,0
C00274,32,74.45,Two year,Fiber optic,Bank transfer,2,0,0
C00275,33,90.93,Month-to-month,Fiber optic,Bank transfer,1,0,0
C00276,67,36.73,One year,Fiber optic,Mailed check,0,0,0
C00277,18,98.06,One year,DSL,Mailed check,0,0,1
C00278,25,78.38,Month-to-month,No,Mailed check,0,0,1
C00279,54,115.22,Month-to-month,Fiber optic,Electronic check,0,0,0
C00280,58,24.24,Month-to-month,DSL,Credit card,0,0,0
C00281,67,46.53,Month-to-month,Fiber optic,Electronic check,1,0,1
C00282,46,80.16,Month-to-month,Fiber optic,Electronic check,1,0,0
C00283,24,49.66,Month-to-month,No,Credit card,1,0,1
C00284,32,91.44,Two year,No,Mailed check,1,0,0
C00285,47,95.9,Two year,DSL,Credit card,3,0,0
C00286,23,30.25,Month-to-month,No,Bank transfer,2,0,1
C00287,66,71.39,Month-to-month,Fiber optic,Mailed check,3,0,0
C00288,27,70.89,Month-to-month,No,Credit card,3,0,0
C00289,2,56.93,One year,DSL,Electronic check,3,0,0
C00290,17,113.29,Two year,Fiber optic,Credit card,1,0,0
C00291,33,102.75,Month-to-month,DSL,Mailed check,0,1,1
C00292,9,89.72,Month-to-month,No,Bank transfer,0,0,1
C00293,43,91.43,One year,DSL,Electronic check,1,0,0
C00294,48,66.17,One year,Fiber optic,Bank transfer,2,1,0
C00295,39,112.1,Month-to-month,DSL,Bank transfer,0,0,0
C00296,42,89.46,One year,DSL,Electronic check,5,0,0
C00297,26,92.9,Month-to-month,Fiber optic,Credit card,3,0,1
C00298,50,106.17,Month-to-month,No,Credit card,3,0,1
C00299,25,47.41,One year,Fiber optic,Bank transfer,1,0,0
C00300,24,100.71,Two year,No,Credit card,0,0,0
C00301,13,39.52,Month-to-month,DSL,Mailed check,0,0,0
C00302,60,54.53,Two year,Fiber optic,Bank transfer,1,0,0
C00303,7,53.56,Month-to-month,Fiber optic,Bank transfer,1,0,1
C00304,57,,One year,DSL,Bank transfer,1,0,0
C00305,36,105.65,Month-to-month,Fiber optic,Mailed check,0,0,0
C00306,45,90.12,Two year,Fiber optic,Bank transfer,2,1,1
C00307,20,92.71,Two year,Fiber optic,Credit card,0,0,0
C00308,65,76.21,Month-to-month,Fiber optic,Credit card,0,0,0
C00309,8,114.71,Two year,Fiber optic,Credit card,2,0,0
C00310,16,69.63,Two year,DSL,Credit card,0,0,0
C00311,14,58.05,One year,DSL,Bank transfer,1,0,0
C00312,15,36.3,Month-to-month,Fiber optic,Mailed check,0,0,0
C00313,66,98.62,Two year,DSL,Electronic check,1,0,0
C00314,32,93.44,Two year,DSL,Credit card,0,1,0
C00315,63,58.44,Month-to-month,Fiber optic,Electronic check,2,1,0
C00316,51,22.52,Two year,Fiber optic,Electronic check,3,0,0
C00317,25,103.9,Month-to-month,DSL,Bank transfer,1,0,0
C00318,58,21.14,Month-to-month,Fiber optic,Credit card,1,0,0
C00319,63,90.37,Month-to-month,Fiber optic,Credit card,0,0,0
C00320,62,117.03,One year,DSL,Credit card,1,0,0
C00321,22,63.77,One year,Fiber optic,Electronic check,2,1,0
C00322,58,43.5,Month-to-month,Fiber optic,Credit card,0,0,0
C00323,58,90.49,Two year,Fiber optic,Credit card,0,0,0
C00324,49,101.71,Month-to-month,Fiber optic,Mailed check,2,0,1
C00325,52,74.64,Month-to-month,DSL,Bank transfer,0,1,0
C00326,42,116.7,Month-to-month,Fiber optic,Credit card,1,0,1
C00327,70,25.17,One year,Fiber optic,Credit card,2,1,0
C00328,15,70.48,Two year,No,Bank transfer,1,1,1
C00329,54,91.85,One year,No,Bank transfer,1,0,1
C00330,60,106.26,Two year,Fiber optic,Electronic check,3,0,0
C00331,8,37.93,Month-to-month,DSL,Electronic check,1,0,0
C00332,53,100.0,Month-to-month,DSL,Electronic check,1,0,1
C00333,60,75.27,Month-to-month,DSL,Bank transfer,2,0,1
C00334,5,59.66,Month-to-month,Fiber optic,Mailed check,0,0,1
C00335,68,33.17,Month-to-month,DSL,Credit card,1,0,0
C00336,6,106.53,One year,Fiber optic,Bank transfer,3,0,1
C00337,47,35.73,Month-to-month,DSL,Mailed check,1,0,1
C00338,55,50.98,One year,No,Bank transfer,0,0,0
C00339,40,49.0,Month-to-month,DSL,Mailed check,2,0,0
C00340,52,107.14,Month-to-month,No,Bank transfer,0,0,1
C00341,16,87.27,One year,No,Bank transfer,3,0,0
C00342,13,99.67,Month-to-month,Fiber optic,Mailed check,3,0,1
C00343,30,45.05,Two year,Fiber optic,Mailed check,0,0,0
C00344,19,82.49,One year,Fiber optic,Mailed check,1,1,1
C00345,17,77.17,Month-to-month,Fiber optic,Mailed check,0,0,0
C00346,63,103.28,Two year,DSL,Mailed check,3,0,0
C00347,19,110.61,Month-to-month,DSL,Mailed check,2,0,0
C00348,58,21.22,Month-to-month,Fiber optic,Mailed check,1,0,1
C00349,55,87.4,One year,,Mailed check,1,1,0
C00350,62,25.18,Month-to-month,Fiber optic,Bank transfer,2,0,0
C00351,23,74.89,Two year,DSL,Mailed check,4,0,1
C00352,9,48.76,Two year,Fiber optic,Mailed check,0,0,0
C00353,12,50.68,Two year,DSL,Bank transfer,0,0,0
C00354,1,55.3,Month-to-month,DSL,Bank transfer,0,0,0
C00355,58,82.13,Month-to-month,DSL,Electronic check,0,0,1
C00356,1,53.4,One year,DSL,Electronic check,1,0,1
C00357,34,93.27,Month-to-month,DSL,Mailed check,0,0,0
C00358,48,60.45,Month-to-month,No,Mailed check,0,0,0
C00359,1,26.84,Month-to-month,DSL,Electronic check,2,0,1
C00360,16,98.38,Month-to-month,Fiber optic,Electronic check,1,0,1
C00361,61,,Month-to-month,DSL,Credit card,2,0,0
C00362,64,63.28,Two year,No,Credit card,2,0,0
C00363,63,88.54,Two year,Fiber optic,Mailed check,1,0,1
C00364,69,53.25,Month-to-month,DSL,Credit card,0,1,0
C00365,22,25.66,Month-to-month,,Electronic check,0,0,1
C00366,67,57.39,Month-to-month,Fiber optic,Mailed check,0,1,0
C00367,26,114.44,Two year,Fiber optic,Bank transfer,0,0,1
C00368,16,84.17,Month-to-month,DSL,Bank transfer,1,0,1
C00369,51,87.15,One year,No,Electronic check,1,0,0
C00370,57,83.23,Month-to-month,Fiber optic,Credit card,7,0,0
C00371,29,39.9,One year,DSL,Bank transfer,1,0,0
C00372,69,61.83,Month-to-month,Fiber optic,Credit card,1,0,1
C00373,47,95.09,One year,Fiber optic,Bank transfer,2,0,1
C00374,62,30.14,Month-to-month,No,Credit card,5,1,1
C00375,69,47.79,One year,Fiber optic,Bank transfer,0,0,0
C00376,16,47.63,Month-to-month,Fiber optic,Bank transfer,3,0,1
C00377,48,63.2,One year,DSL,Mailed check,0,0,0
C00378,39,118.04,Two year,No,Mailed check,1,0,0
C00379,33,,Month-to-month,Fiber optic,Electronic check,0,0,0
C00380,23,71.87,Two year,DSL,Bank transfer,0,0,0
C00381,10,37.94,One year,DSL,Credit card,0,0,0
C00382,69,117.07,Month-to-month,DSL,Bank transfer,1,1,0
C00383,34,31.33,Month-to-month,No,Credit card,0,0,0
C00384,52,60.36,Month-to-month,DSL,Credit card,2,0,0
C00385,10,93.79,One year,Fiber optic,Bank transfer,0,0,0
C00386,19,90.46,One year,DSL,Credit card,0,0,0
C00387,58,62.27,Month-to-month,Fiber optic,Electronic check,0,1,0
C00388,1,54.65,Month-to-month,Fiber optic,Mailed check,0,0,0
C00389,69,59.76,Two year,No,Credit card,1,0,0
C00390,4,,Two year,Fiber optic,Bank transfer,2,0,0
C00391,16,40.53,Month-to-month,No,Mailed check,2,0,1
C00392,24,68.3,Two year,Fiber optic,Electronic check,1,0,0
C00393,2,46.85,Month-to-month,DSL,Credit card,0,0,0
C00394,32,48.75,Month-to-month,DSL,Credit card,2,0,1
C00395,24,85.68,Two year,Fiber optic,Mailed check,2,0,0
C00396,12,116.85,Month-to-month,No,Credit card,4,0,1
C00397,50,80.36,Month-to-month,No,Bank transfer,1,0,0
C00398,35,27.7,Month-to-month,DSL,Mailed check,0,0,0
C00399,33,27.56,Two year,DSL,Mailed check,1,0,1
C00400,33,115.14,Two year,DSL,Credit card,1,0,0
C00401,61,49.73,Month-to-month,No,Electronic check,1,0,0
C00402,51,29.21,Month-to-month,No,Electronic check,1,1,1
C00403,43,79.9,Month-to-month,Fiber optic,Electronic check,1,0,1
C00404,12,82.36,One year,Fiber optic,Electronic check,1,0,0
C00405,67,84.85,Month-to-month,Fiber optic,Mailed check,0,0,0
C00406,65,,One year,Fiber optic,Mailed check,0,1,0
C00407,33,21.51,Month-to-month,DSL,Credit card,3,0,1
C00408,40,116.5,Month-to-month,Fiber optic,Electronic check,2,1,1
C00409,43,45.09,Month-to-month,DSL,Electronic check,1,0,0
C00410,44,87.6,Month-to-month,DSL,Credit card,0,0,1
C00411,29,90.66,Two year,No,Credit card,0,0,0
C00412,13,81.0,Month-to-month,Fiber optic,Credit card,0,0,1
C00413,12,51.29,Month-to-month,Fiber optic,Bank transfer,1,0,1
C00414,46,47.11,Month-to-month,Fiber optic,Credit card,0,0,0
C00415,2,79.77,Month-to-month,Fiber optic,Credit card,1,0,1
C00416,35,106.61,Month-to-month,Fiber optic,Bank transfer,0,0,1
C00417,8,114.67,Month-to-month,,Electronic check,1,0,1
C00418,26,30.59,Month-to-month,Fiber optic,Mailed check,1,1,0
C00419,34,35.48,One year,Fiber optic,Electronic check,2,0,1
C00420,7,,Month-to-month,DSL,Mailed check,3,0,1
C00421,68,93.65,Month-to-month,DSL,Mailed check,4,0,1
C00422,58,108.3,Two year,,Credit card,3,0,0
C00423,29,40.26,Month-to-month,DSL,Credit card,1,1,0
C00424,36,78.76,Month-to-month,Fiber optic,Bank transfer,1,0,0
C00425,21,90.11,Month-to-month,DSL,Electronic check,2,0,1
C00426,36,88.01,Month-to-month,DSL,Electronic check,2,1,1
C00427,10,60.82,One year,Fiber optic,Mailed check,1,0,0
C00428,24,21.54,Month-to-month,No,Credit card,0,0,1
C00429,64,,One year,DSL,Credit card,2,0,0
C00430,49,45.31,Month-to-month,Fiber optic,Electronic check,0,1,0
C00431,36,65.03,Month-to-month,Fiber optic,Bank transfer,2,1,1
